s,Zeta Real,Zeta Imag
0.5+1000j,0.35388972456110446,0.9318097566480609
0.5+1000.1j,0.8436213679979264,1.1890669590391738
0.5+1000.2j,1.4283176129699873,1.2018009748291816
0.5+1000.3j,1.9830426075478522,0.9463323308618841
0.5+1000.4j,2.3853512105280443,0.46161116362995747
0.5+1000.5j,2.5452395936994305,-0.15982243862623247
0.5+1000.6j,2.4266264300344766,-0.794197773344438
0.5+1000.7j,2.0551178500468894,-1.3160952140442366
0.5+1000.8j,1.5106384132759596,-1.6275806677702132
0.5+1000.9j,0.9074022066139147,-1.67980196369856
0.5+1001j,0.3666024596273526,-1.4822543582685535
0.5+1001.1j,-0.011453499476016801,-1.0981190634724136
0.5+1001.2j,-0.1693012557008466,-0.6273282457809788
0.5+1001.3j,-0.10350332163481236,-0.1816710265328739
0.5+1001.4j,0.13728321802328106,0.14207807414093576
0.5+1001.5j,0.4667020547253884,0.28460573682737556
0.5+1001.6j,0.7839503147795335,0.2366459050234241
0.5+1001.7j,1.0000076493537164,0.03858026268623695
0.5+1001.8j,1.0600270259765279,-0.232795455686916
0.5+1001.9j,0.9559365250180397,-0.4867212965030323
0.5+1002j,0.7259273743731929,-0.643889391140715
0.5+1002.1j,0.4412258065005115,-0.6576948474886816
0.5+1002.2j,0.18422122094919968,-0.5254500944374741
0.5+1002.3j,0.024444579765993162,-0.28673710077177134
0.5+1002.4j,-0.0007191796199840136,-0.009893391102327079
0.5+1002.5j,0.10461896225741127,0.2290313514840905
0.5+1002.6j,0.29756929544061433,0.36865246046898636
0.5+1002.7j,0.5099653260373385,0.3797859803802282
0.5+1002.8j,0.6686116123934792,0.27361847648709015
0.5+1002.9j,0.7167432452086013,0.09860715779790186
0.5+1003j,0.6310772098777833,-0.072945343832218
0.5+1003.1j,0.42999025631476145,-0.16521590974859415
0.5+1003.2j,0.17045017109269528,-0.12095019485055299
0.5+1003.3j,-0.06599270276689374,0.08046472500030813
0.5+1003.4j,-0.19502503534440113,0.4140784514110485
0.5+1003.5j,-0.15372149692197443,0.812723217716518
